,Quarter,Ticker,Jaccard,std,mean,JaccardStand,Cosine,cosmean,cosstd,CosineStand
22,2011Q1.0,ABT,0.16835260115606937,0.1742380525966831,0.3797435621270616,-1.2132307370325626,0.2660678485533118,0.8522103320121744,0.1845357172663551,-3.1763091294290553
70,2010Q3.0,ABT,0.17425539198904486,0.1742380525966831,0.3797435621270616,-1.1793530005392665,0.26647825875787157,0.8522103320121744,0.1845357172663551,-3.1740851144218825
454,2012Q3.0,AIV,0.21023249240336372,0.1956233778847572,0.4038010830501922,-0.9894962081723218,0.4924924263766699,0.9046442728123528,0.12235411687766283,-3.368516376508832
499,2010Q2.0,AJG,0.25976004570557987,0.2105769634181823,0.436949027059441,-0.8414452297043701,0.36703491344002015,0.8932637671460587,0.13995229243230528,-3.7600588354819173
701,2011Q1.0,AOS,0.21201550387596899,0.15579672412237291,0.3967622386008273,-1.1858191227419275,0.3708101480698676,0.8920198251318676,0.1394238884117113,-3.738309718653777
725,2010Q2.0,AOS,0.2586342670716616,0.15579672412237291,0.3967622386008273,-0.8865909877583241,0.3052573619353972,0.8920198251318676,0.1394238884117113,-4.208478689561377
749,2010Q3.0,AOS,0.25339805825242717,0.15579672412237291,0.3967622386008273,-0.9202002234385401,0.28662042073074506,0.8920198251318676,0.1394238884117113,-4.342149765708804
798,2018Q2.0,APH,0.2206099449105246,0.1999514247840238,0.40043714630231114,-0.899354438639413,0.16301743887236375,0.8406601566742412,0.21575963039322452,-3.140729878739899
818,2016Q3.0,APH,0.1801412714429869,0.1999514247840238,0.40043714630231114,-1.1017469622798406,0.16247550426602697,0.8406601566742412,0.21575963039322452,-3.143241630383842
996,2012Q1.0,BIIB,0.21192391600763566,0.18617403686844666,0.4146118916203548,-1.0887016203872801,0.3331929739597961,0.8936553768071225,0.15542756176041675,-3.6059396190699378
1188,2010Q2.0,T,0.09889614778103177,0.1823490168446866,0.36192625017941954,-1.4424541845620162,0.18978334835581728,0.8510115325547769,0.2096983371262141,-3.153235229523908
1211,2009Q3.0,T,0.1931536780772032,0.1823490168446866,0.36192625017941954,-0.9255469265620783,0.09249053517477959,0.8510115325547769,0.2096983371262141,-3.6172008217855134
1212,2010Q3.0,T,0.14854911704676546,0.1823490168446866,0.36192625017941954,-1.170157847982231,0.13076496511236493,0.8510115325547769,0.2096983371262141,-3.4346794414917414
